25,93 100 
25,93 4
25,93 1911
25,93 10
2027,73 25 
2225,76 75 
2341,65 250 
2358,18 101 
4374,14 100 
4374,14 4
4374,14 1911
4374,14 10
4374,14 25 
4399,03 75 
5755,54 72 
6003,35 70 
7609,38 80 
8583,14 83 
9023,94 64 441
9322,34 63 272
9343,13 239 
10545,8 151 
10583,3 69 
11095,76 93 
11563,21 183 
12089,82 103 
12089,82 101 
13294,73 100 
13294,73 4
13294,73 1911
13294,73 11
15309,24 25 
16077,83 75 
16102,82 250 
16112,05 101 
18128,3 100 
18128,3 4
18128,3 1911
18128,3 11
18128,3 25 
18153,11 75 
19511,05 72 
19662,28 70 
21224,55 80 
22071,46 83 
22395,15 64 325
22539,54 62 122
22564,52 239 
22806,6 153 
22844,96 68 
23352,33 172 
23849,86 92 
23849,86 65 
24290,98 172 
24349,56 103 
24349,56 101 
24863,81 100 
24863,81 4
24863,81 1911
24863,81 11
26871,21 25 
26899,97 75 
28256,12 72 
28298,47 70 
29849,45 80 
30694,48 83 
30852,57 64 159
31005,49 62 126
31020,88 239 
32056,01 151 
32087,01 69 
32558,79 239 
33931,3 182 
33984,13 182 
34456,44 183 
34542,79 183 
35074,97 183 
35384,83 183 
35781,54 181 
36386,32 182 
36436,14 182 
36935,58 93 
36957,28 103 
36957,28 101 
38177,54 100 
38177,54 4
38177,54 1911
38177,54 11
40185,39 25 
40214,74 75 
41570,92 72 
41625,93 70 
43174,28 80 
44021,95 83 
44383,27 64 362
44563,9 62 157
44770 151 
44814,75 69 
45283,47 239 
48517,03 181 
49206,91 182 
49704,07 93 
49725,15 103 
49725,15 101 
50945,73 100 
50945,73 4
50945,73 1911
50945,73 10
52953,24 25 
52981,9 75 
54340,14 72 
54380,69 70 
55933,1 80 
56776,45 83 
57306,02 64 531
57481,62 61 146
57505,22 239 
57828,8 151 
57863,56 69 
58323,32 93 
59361,23 103 
59361,23 101 
60567,88 100 
60567,88 4
60567,88 1911
60567,88 11
62575,87 25 
62604,49 75 
63960,92 72 
64003,14 70 
65557,68 80 
66399,02 83 
66659,41 64 261
66831,06 62 153
67037,2 151 
67067,28 69 
67579,8 93 
67689,57 239 
68570,49 103 
68570,49 101 
69778,29 100 
69778,29 4
69778,29 1911
69778,29 11
71785,36 25 
71813,88 75 
73170,67 72 
73212,35 70 
74763,28 80 
75608,46 83 
75872,37 64 265
76071,66 63 171
76277,83 151 
76316,69 69 
76828,85 93 
77136,26 239 
77770,62 183 
77833,19 103 
77833,19 101 
79040,27 100 
79040,27 4
79040,27 1911
79040,27 10
81047,97 25 
81076,58 75 
82433,8 72 
82475,08 70 
84028,44 80 
84871,16 83 
85109,47 64 239
85314,52 61 178
85625,24 151 
85659,46 69 
86120,24 93 
86199,22 239 
87023,01 183 
87095,26 183 
87162,56 103 
87162,56 101 
88382,57 100 
88382,57 4
88382,57 1911
88382,57 10
90390,74 25 
90419,42 75 
91776,09 72 
91817,99 70 
93376,16 80 
94214,04 83 
94497,89 64 285
94657,39 62 138
94692,43 239 
94914,35 150 
94953,62 68 
95451,31 172 
95947,74 92 
95947,74 65 
96452,52 103 
96452,52 101 
96965,63 100 
96965,63 4
96965,63 1911
96965,63 10
98973,67 25 
99003,3 75 
100360,82 72 
100400,75 70 
101950,66 80 
102783,62 83 
103021,16 64 239
103174,72 62 125
103206,89 239 
103482,21 150 
103523,64 68 
103770,92 172 
104061,3 172 
104624,44 172 
104905,08 172 
105400,74 92 
105400,74 65 
105421,52 103 
105421,52 101 
105938,11 100 
105938,11 4
105938,11 1911
105938,11 11
107943,19 25 
107971,8 75 
109329,02 72 
109370,39 70 
110922,88 80 
111766,46 83 
112013,08 64 248
112209,25 63 177
112416,78 151 
112453,4 69 
112966,86 93 
113951,12 103 
113951,12 101 
115158,21 100 
115158,21 4
115158,21 1911
115158,21 11
117165,88 25 
117194,61 75 
117389,41 250 
117402,28 101 
119418,32 100 
119418,32 4
119418,32 1911
119418,32 11
119418,32 25 
119443,07 75 
120800,19 72 
120979,04 70 
122586,58 80 
123534,97 83 
123921,74 64 388
124138,49 62 191
124161,08 239 
124639,15 151 
124669,63 69 
124933,74 182 
125433,16 93 
125880,42 183 
126172,79 103 
126172,79 101 
127380,02 100 
127380,02 4
127380,02 1911
127380,02 11
129387,59 25 
129416,35 75 
130774,22 72 
130921,44 70 
132480,66 80 
133330,73 83 
133571,21 64 242
133729,36 62 133
133935,03 151 
133976,96 69 
134489,09 93 
135475,48 103 
135475,48 101 
136682,46 100 
136682,46 4
136682,46 1911
136682,46 10
138690,29 25 
138719,07 75 
140075,84 72 
140117,53 70 
141668,87 80 
142513,51 83 
142853,33 64 341
143005,27 62 133
143211,61 152 
143248,42 69 
143759,37 93 
143786 239 
144386,77 183 
144469,98 183 
144751,38 103 
144751,38 101 
145958,15 100 
145958,15 4
145958,15 1911
145958,15 11
147966,15 25 
147994,87 75 
149352,67 72 
149393,27 70 
150950,71 80 
151802,84 83 
152066,72 64 265
152109,23 239 
152321,09 61 226
152627,67 150 
152662,48 68 
153121,15 92 
153121,15 65 
154160,68 103 
154160,68 101 
154674,74 100 
154674,74 4
154674,74 1911
154674,74 11
156683,02 25 
157417,42 75 
158776,25 72 
158816,08 70 
160370,7 80 
161225,31 83 
161624,69 64 400
161845,18 61 195
162152,29 150 
162191,51 68 
162649,19 92 
162649,19 65 
163689,95 103 
163689,95 101 
164203,69 100 
164203,69 4
164203,69 1911
164203,69 10
166211,83 25 
166240,39 75 
167596,91 72 
167638,94 70 
169191,09 80 
170021,84 83 
171460,32 64 1440
171599,17 62 113
171613,56 239 
171830,13 150 
171867,42 68 
172917,14 172 
173166,31 172 
173663,58 92 
173663,58 65 
173685,74 103 
