29,79 100 
29,79 5
29,79 1898
29,79 11
2032,73 25 
2057,54 75 
3264,36 72 
3597,73 70 
4991,89 80 
5922,64 83 
6307,8 64 386
6471,36 62 136
6680,21 150 
6712,5 68 
7076,26 239 
7687,43 172 
7898,59 172 
8394,09 92 
8394,09 65 
8429,65 103 
8429,65 101 
8942,55 100 
8942,55 5
8942,55 1898
8942,55 10
10949,57 25 
10978,6 75 
12186,3 72 
12323,58 70 
13735,21 80 
14679,52 83 
14814,08 64 135
15005,36 239 
15043,26 62 204
15249,44 151 
15279,55 69 
15787,99 93 
16399,78 181 
16784,35 103 
16784,35 101 
18004,33 100 
18004,33 5
18004,33 1898
18004,33 11
20012,34 25 
20041,37 75 
21247,78 72 
21399,73 70 
22775,18 80 
23729,09 83 
24040,08 64 312
24250,63 61 189
24359,28 151 
24401,86 69 
24868,37 93 
25429,73 183 
25900,45 103 
25900,45 101 
27107,55 100 
27107,55 5
27107,55 1898
27107,55 10
29115,15 25 
30303,17 75 
31510,02 72 
31648,67 70 
33029,12 80 
33964,58 83 
34047,29 64 83
34294,9 63 225
34501 150 
34545,32 68 
35057,05 92 
35057,05 65 
36043,74 103 
36043,74 101 
36556,48 100 
36556,48 5
36556,48 1898
36556,48 11
38564,59 25 
38593,22 75 
39799,91 72 
39845,04 70 
41195,12 80 
42028,02 83 
42381,07 64 354
42607,24 63 207
42812,62 153 
42847,7 68 
43357,23 92 
43357,23 65 
44346,64 103 
44346,64 101 
44859,61 100 
44859,61 5
44859,61 1898
44859,61 10
46868,43 25 
46896,24 75 
46987,01 250 
46997,43 101 
49013,29 100 
49013,29 5
49013,29 1898
49013,29 10
49013,29 25 
49040,13 75 
50247,02 72 
50293,91 70 
51641,66 80 
52476,9 83 
52601,04 64 125
52833,81 63 212
53039,21 150 
53083,03 68 
53592,22 92 
53592,22 65 
54581,62 103 
54581,62 101 
55096,32 100 
55096,32 5
55096,32 1898
55096,32 11
57103,22 25 
57132,92 75 
58340,12 72 
58383,81 70 
59733,34 80 
60567,01 83 
61178,81 64 613
61445,32 239 
61455,86 61 251
61562,27 151 
61599,79 69 
62060,26 93 
62339,25 239 
62807,81 183 
63097,94 103 
63097,94 101 
64304,76 100 
64304,76 5
64304,76 1898
64304,76 10
66312,77 25 
66341,47 75 
67548,45 72 
67593,23 70 
68939,12 80 
69776,08 83 
69905,9 64 131
70253,59 63 319
70459,47 150 
70502,4 68 
71015,67 92 
71015,67 65 
72000,92 103 
72000,92 101 
72515,69 100 
72515,69 5
72515,69 1898
72515,69 11
74522,48 25 
74551,64 75 
75758,64 72 
75802,95 70 
77151,25 80 
77999,21 83 
78458,7 64 461
78723,44 239 
78925,94 61 448
79032,97 151 
79072,09 69 
79531,3 93 
80570,64 103 
80570,64 101 
81790,88 100 
81790,88 5
81790,88 1898
81790,88 10
83798,79 25 
83827,46 75 
85034,6 72 
85079,2 70 
86427,38 80 
87261,97 83 
87370,4 64 110
87663,53 63 270
87870,89 150 
87909,21 68 
88420,9 92 
88420,9 65 
89406,82 103 
89406,82 101 
89923,52 100 
89923,52 5
89923,52 1898
89923,52 11
91928,55 25 
91957,37 75 
93165,47 72 
93209,06 70 
94556,41 80 
95392,21 83 
95914,06 64 523
96122,65 62 186
96329,11 150 
96371,2 68 
96814,58 239 
97564,84 172 
97836,71 172 
98333,24 92 
98333,24 65 
98362,9 103 
98362,9 101 
98876,55 100 
98876,55 5
98876,55 1898
98876,55 11
100884,62 25 
100913,56 75 
102123,62 72 
102165,13 70 
103514,93 80 
104348,17 83 
104685,57 64 339
104842,6 62 136
105049,41 150 
105088,29 68 
105596,6 92 
105596,6 65 
106586,17 103 
106586,17 101 
107100,03 100 
107100,03 5
107100,03 1898
107100,03 11
109108,01 25 
109136,64 75 
110343,53 72 
110388,61 70 
111734,55 80 
112584,5 83 
112952,33 64 368
113125,53 62 156
113331,98 152 
113364,92 69 
113879,25 93 
114862,6 103 
114862,6 101 
116082,83 100 
116082,83 5
116082,83 1898
116082,83 11
118091,39 25 
118985,89 75 
118994,92 250 
119006,53 101 
121022,68 100 
121022,68 5
121022,68 1898
121022,68 11
121022,68 25 
121049,38 75 
122257,79 72 
122303,25 70 
123651,02 80 
124487,73 83 
124638,17 64 153
124881,91 63 224
125087,54 151 
125114,85 69 
125627,5 93 
126617,58 103 
126617,58 101 
127838,67 100 
127838,67 5
127838,67 1898
127838,67 10
129845,77 25 
130487,48 75 
130558,08 250 
130575,03 101 
132591,26 100 
132591,26 5
132591,26 1898
132591,26 10
132591,26 25 
132615,92 75 
133822,69 72 
133871,66 70 
135221,55 80 
136067,95 83 
136245,31 64 178
136502,54 63 235
136708,57 150 
136754,1 68 
137263,12 92 
137263,12 65 
138252,62 103 
138252,62 101 
138766,53 100 
138766,53 5
138766,53 1898
138766,53 11
140774,44 25 
140803,01 75 
142013,28 72 
142188,74 70 
143684,64 80 
144650,83 83 
145000,59 64 351
145221,12 62 198
145426,7 150 
145471,27 68 
145801,71 239 
146502,45 172 
146757,97 172 
147255,54 92 
147255,54 65 
147275,5 103 
147275,5 101 
147789,24 100 
147789,24 5
147789,24 1898
147789,24 10
149797,17 25 
149825,95 75 
151035,74 72 
151171,45 70 
152582,68 80 
153527,08 83 
153782,67 64 257
154003,57 63 198
154209,65 150 
154253,98 68 
154765,75 92 
154765,75 65 
155751,9 103 
155751,9 101 
156265,41 100 
156265,41 5
156265,41 1898
156265,41 10
158273,62 25 
158302,31 75 
159510,15 72 
159660,8 70 
161035,33 80 
161976,88 83 
162177,44 64 201
162412,44 63 211
162618,29 150 
162650,04 68 
163160,14 92 
163160,14 65 
164148,22 103 
164148,22 101 
164661,98 100 
164661,98 5
164661,98 1898
164661,98 10
166669,94 25 
166698,87 75 
167906,62 72 
168057,5 70 
169447,58 80 
170386,65 83 
