50,71 100 
50,71 3
50,71 1627
50,71 10
2046,76 25 
2684,43 75 
3593,14 72 
3867,08 70 
4798,72 80 
5323,36 83 
5432,93 64 109
5667,61 62 211
5876,83 150 
5912,24 68 
6259,21 256 
6418,19 172 
6919,27 92 
6919,27 65 
7417,38 103 
7417,38 101 
7929,32 100 
7929,32 3
7929,32 1627
7929,32 11
9937,36 25 
9965,98 75 
10873,24 72 
11044,57 70 
11996,4 80 
12534,45 83 
12567,68 64 34
13165,73 63 579
13372,79 152 
13400,95 69 
13979,61 182 
14008,24 256 
21518,5 182 
23147,91 183 
23645,09 93 
23662,86 103 
23662,86 101 
24575,36 100 
24575,36 3
24575,36 1627
24575,36 11
26583,7 25 
26612,26 75 
27520,07 72 
27677,67 70 
28594,05 80 
29114,05 83 
32569,64 64 3456
33303,51 62 712
33508,38 151 
33546,04 69 
33979,76 182 
34589,29 183 
35870,13 182 
36367,82 93 
36390,04 103 
36390,04 101 
37303,39 100 
37303,39 3
37303,39 1627
37303,39 11
39311,54 25 
39340,17 75 
40248,11 72 
40418,85 70 
41311,07 80 
41735,44 83 
41913,2 64 179
42364,59 63 430
42570,69 150 
42608,44 68 
42937,69 173 
43435,95 92 
43435,95 65 
44106,86 103 
44106,86 101 
44620,29 100 
44620,29 3
44620,29 1627
44620,29 11
46628,64 25 
46657 75 
47565,79 72 
47615,63 70 
48502,13 80 
48919,03 83 
49119,37 64 201
49283,47 62 139
49490,23 151 
49525,92 69 
50036,36 93 
50053,43 256 
50096,08 182 
50623,64 182 
51023,83 103 
51023,83 101 
51937,1 100 
51937,1 3
51937,1 1627
51937,1 10
53946,18 25 
55693,8 75 
56604,23 72 
56651,82 70 
57535,3 80 
57955,21 83 
57963,23 64 9
58102,74 62 122
58308,85 150 
58348,07 68 
58860 92 
58860 65 
59846,82 103 
59846,82 101 
60360,27 100 
60360,27 3
60360,27 1627
60360,27 10
62368,47 25 
62397,2 75 
63303,46 72 
63355,69 70 
64241,9 80 
64672,36 83 
64687,66 64 16
64833,26 62 122
65039,96 150 
65079,02 68 
65517,75 172 
66014,12 92 
66014,12 65 
66577,4 103 
66577,4 101 
67090,96 100 
67090,96 3
67090,96 1627
67090,96 10
69099,14 25 
69127,71 75 
70035,11 72 
70086,19 70 
70975,68 80 
71403 83 
71838,68 64 437
72013,95 62 158
72220,6 150 
72262,16 68 
72776,91 92 
72776,91 65 
73403,05 256 
73760,9 103 
